# expected.tsv — exam-helper.py void-check over each fixtures/exam-void/<dir> arm (exam.sh self-test): <dir> TAB void.txt
all-cells-failed	VOID	all-cells-failed	fx/zone-hunt-out/discovery/src_pool/run (2 cells)
attrib-refusal	VOID	attribution	attrib.tsv:verify=PURE-OPUS(refusal)
attrib-usage-limit	VOID	weekly-limit	attrib.tsv:discovery=synthetic-usage-limit
attribution	VOID	attribution	attrib.tsv:deep-hunt=MIXED(fail)
backend-no-reply	VOID	backend-no-reply	fx/zone-hunt-out/discovery/src_pool/run/hunt_share_pool_C1.log:1
deep-budget-ok	VALID
deep-engine-failed	VOID	deep-incomplete	fx/zone-hunt-out/deep-hunt/cell-status.tsv:1 (zone src_pool)
deep-incomplete	VOID	deep-incomplete	deep.log:2 (zone src_pool)
empty-log	VOID	zone-incomplete	fx/zone-hunt-out/discovery/src_pool/run/hunt_share_pool_C6.log (empty, no marker)
hard-stop	VOID	hard-stop	run.meta:rc=124
killed	VOID	killed	run.meta:deep_rc=skip-killed
lister-failed	VOID	promise-lister	fx/zone-hunt-out/discovery/src_pool/run/promises/src_pool_C1.lister.novalid
live-no-attrib	VOID	attribution	attrib.tsv:missing
mock-no-attrib	VALID
no-cells	VOID	no-cells	fx/zone-hunt-out/discovery/src_pool/run
operator	VOID	operator	void.operator:the operator edited hunter.ag while this arm ran
transport	VOID	transport	fx/zone-hunt-out/discovery/src_pool/run/hunt_share_pool_C1.log:1
transport-timeout	VOID	transport	fx/zone-hunt-out/discovery/src_pool/run/hunt_share_pool_C1.log.timeout
valid	VALID
weekly-limit	VOID	weekly-limit	fx/zone-hunt-out/discovery/src_pool/run/hunt_share_pool_C1.log:1
zone-failed	VOID	zone-incomplete	fx/zone-hunt-out/coverage/zone-coverage.json:src_pool=failed exit=137
