arm	repeat	commit	model	flags	start	end	rc	attribution	requests
control	1	48d79c5baa5dc256eac7f3cad8053230634997af	claude-opus-4-8	backend=flat-cyborg;model=claude-opus-4-8;jobs=1;rehunt-gaps;zone=src_oracles;operationalize_lens=off	2026-09-15T21:19:52+02:00	2026-09-15T22:01:00+02:00	0	PURE-OPUS	36
routed	1	48d79c5baa5dc256eac7f3cad8053230634997af	claude-opus-4-8	backend=flat-cyborg;model=claude-opus-4-8;jobs=1;rehunt-gaps;zone=src_oracles;operationalize_lens=off	2026-09-15T22:01:01+02:00	2026-09-15T22:44:26+02:00	0	PURE-OPUS	50
routed+trace	1	48d79c5baa5dc256eac7f3cad8053230634997af	claude-opus-4-8	backend=flat-cyborg;model=claude-opus-4-8;jobs=1;rehunt-gaps;zone=src_oracles;operationalize_lens=on	2026-09-15T22:44:27+02:00	2026-09-15T23:29:03+02:00	0	PURE-OPUS	26
control	2	48d79c5baa5dc256eac7f3cad8053230634997af	claude-opus-4-8	backend=flat-cyborg;model=claude-opus-4-8;jobs=1;rehunt-gaps;zone=src_oracles;operationalize_lens=off	2026-09-15T23:29:04+02:00	2026-09-16T00:07:53+02:00	0	PURE-OPUS	20
routed	2	48d79c5baa5dc256eac7f3cad8053230634997af	claude-opus-4-8	backend=flat-cyborg;model=claude-opus-4-8;jobs=1;rehunt-gaps;zone=src_oracles;operationalize_lens=off	2026-09-16T00:07:53+02:00	2026-09-16T00:51:07+02:00	0	PURE-OPUS	25
routed+trace	2	48d79c5baa5dc256eac7f3cad8053230634997af	claude-opus-4-8	backend=flat-cyborg;model=claude-opus-4-8;jobs=1;rehunt-gaps;zone=src_oracles;operationalize_lens=on	2026-09-16T00:51:07+02:00	2026-09-16T01:33:04+02:00	0	PURE-OPUS	41
control	3	48d79c5baa5dc256eac7f3cad8053230634997af	claude-opus-4-8	backend=flat-cyborg;model=claude-opus-4-8;jobs=1;rehunt-gaps;zone=src_oracles;operationalize_lens=off	2026-09-16T01:33:05+02:00	2026-09-16T02:19:27+02:00	0	PURE-OPUS	66
routed	3	48d79c5baa5dc256eac7f3cad8053230634997af	claude-opus-4-8	backend=flat-cyborg;model=claude-opus-4-8;jobs=1;rehunt-gaps;zone=src_oracles;operationalize_lens=off	2026-09-16T02:19:27+02:00	2026-09-16T02:58:58+02:00	0	PURE-OPUS	21
routed+trace	3	48d79c5baa5dc256eac7f3cad8053230634997af	claude-opus-4-8	backend=flat-cyborg;model=claude-opus-4-8;jobs=1;rehunt-gaps;zone=src_oracles;operationalize_lens=on	2026-09-16T02:58:58+02:00	2026-09-16T03:44:43+02:00	0	PURE-OPUS	20
dismissal	1	b77144d9f787a7ac5554902564050b7236f83a8b	claude-opus-4-8	backend=flat-cyborg;model=claude-opus-4-8;jobs=1;rehunt-gaps;zone=src_oracles;operationalize_lens=on	2026-09-16T03:48:15+02:00	2026-09-16T05:11:15+02:00	0	PURE-OPUS	146
dismissal	2	b77144d9f787a7ac5554902564050b7236f83a8b	claude-opus-4-8	backend=flat-cyborg;model=claude-opus-4-8;jobs=1;rehunt-gaps;zone=src_oracles;operationalize_lens=on	2026-09-16T05:11:15+02:00	2026-09-16T06:32:45+02:00	0	PURE-OPUS	121
dismissal	3	b77144d9f787a7ac5554902564050b7236f83a8b	claude-opus-4-8	backend=flat-cyborg;model=claude-opus-4-8;jobs=1;rehunt-gaps;zone=src_oracles;operationalize_lens=on	2026-09-16T06:32:45+02:00	2026-09-16T07:47:25+02:00	0	PURE-OPUS	82
